common_name,scientific_name
Hodgson's frogmouth,Batrachostomus hodgsoni
Great eared nightjar,Lyncornis macrotis
Jungle nightjar,Caprimulgus indicus
Grey nightjar,Caprimulgus jotaka
European nightjar,Caprimulgus europaeus
Sykes's nightjar,Caprimulgus mahrattensis
Jerdon's nightjar,Caprimulgus atripennis
Large-tailed nightjar,Caprimulgus macrurus
Andaman nightjar,Caprimulgus andamanicus
Indian nightjar,Caprimulgus asiaticus
Savanna nightjar,Caprimulgus affinis
Crested treeswift,Hemiprocne coronata
Plume-toed swiftlet,Collocalia affinis
Indian swiftlet,Aerodramus unicolor
Himalayan swiftlet,Aerodramus brevirostris
Edible-nest swiftlet,Aerodramus fuciphagus
White-rumped spinetail,Zoonavena sylvatica
White-throated needletail,Hirundapus caudacutus
Silver-backed needletail,Hirundapus cochinchinensis
Brown-backed needletail,Hirundapus giganteus
Asian palm swift,Cypsiurus balasiensis
Alpine swift,Tachymarptis melba
Common swift,Apus apus
Pallid swift,Apus pallidus
Pacific swift,Apus pacificus ssp. kurodae
Blyth's swift,Apus leuconyx
Dark-rumped swift,Apus acuticauda
Little swift,Apus affinis
House swift,Apus nipalensis
Great Indian bustard,Ardeotis nigriceps
MacQueen's bustard,Chlamydotis macqueenii
Bengal florican,Houbaropsis bengalensis
Lesser florican,Sypheotides indicus
Little bustard,Tetrax tetrax
Greater coucal,Centropus sinensis
Lesser coucal,Centropus bengalensis
Andaman coucal,Centropus andamanensis
Sirkeer malkoha,Taccocua leschenaultii
Blue-faced malkoha,Phaenicophaeus viridirostris
Green-billed malkoha,Phaenicophaeus tristis
Chestnut-winged cuckoo,Clamator coromandus
Jacobin cuckoo,Clamator jacobinus
Asian koel,Eudynamys scolopaceus
Asian emerald cuckoo,Chrysococcyx maculatus
Violet cuckoo,Chrysococcyx xanthorhynchus
Horsfield's bronze cuckoo,Chrysococcyx basalis
Banded bay cuckoo,Cacomantis sonneratii
Plaintive cuckoo,Cacomantis merulinus
Grey-bellied cuckoo,Cacomantis passerinus
Square-tailed drongo-cuckoo,Surniculus lugubris
Fork-tailed drongo-cuckoo,Surniculus dicruroides
Large hawk-cuckoo,Hierococcyx sparverioides
Common hawk-cuckoo,Hierococcyx varius
Hodgson's hawk-cuckoo,Hierococcyx nisicolor
Lesser cuckoo,Cuculus poliocephalus
Indian cuckoo,Cuculus micropterus
Himalayan cuckoo,Cuculus saturatus
Common cuckoo,Cuculus canorus
Tibetan sandgrouse,Syrrhaptes tibetanus
Pallas's sandgrouse,Syrrhaptes paradoxus
Pin-tailed sandgrouse,Pterocles alchata
Chestnut-bellied sandgrouse,Pterocles exustus
Spotted sandgrouse,Pterocles senegallus
Black-bellied sandgrouse,Pterocles orientalis
Painted sandgrouse,Pterocles indicus
Rock dove,Columba livia
Hill pigeon,Columba rupestris
Snow pigeon,Columba leuconota
Yellow-eyed pigeon,Columba eversmanni
Common wood pigeon,Columba palumbus
Speckled wood pigeon,Columba hodgsonii
Ashy wood pigeon,Columba pulchricollis
Nilgiri wood pigeon,Columba elphinstonii
Pale-capped pigeon,Columba punicea
Andaman wood pigeon,Columba palumboides
European turtle dove,Streptopelia turtur
Oriental turtle dove,Streptopelia orientalis
Eurasian collared dove,Streptopelia decaocto
Red collared dove,Streptopelia tranquebarica
Spotted dove,Spilopelia chinensis
Laughing dove,Spilopelia senegalensis
Barred cuckoo-dove,Macropygia unchall
Andaman cuckoo-dove,Macropygia rufipennis
Namaqua dove,Oena capensis
Common emerald dove,Chalcophaps indica
Nicobar pigeon,Caloenas nicobarica
Orange-breasted green pigeon,Treron bicinctus
Grey-fronted green pigeon,Treron affinis
Ashy-headed green pigeon,Treron phayrei
Andaman green pigeon,Treron chloropterus
Thick-billed green pigeon,Treron curvirostra
Yellow-footed green pigeon,Treron phoenicopterus
Pin-tailed green pigeon,Treron apicauda
Wedge-tailed green pigeon,Treron sphenurus
Green imperial pigeon,Ducula aenea
Nicobar imperial pigeon,Ducula nicobarica
Mountain imperial pigeon,Ducula badia
Malabar imperial pigeon,Ducula cuprea
Pied imperial pigeon,Ducula bicolor
Masked finfoot,Heliopais personatus
Water rail,Rallus aquaticus
Brown-cheeked rail,Rallus indicus
Corn crake,Crex crex
Slaty-breasted rail,Lewinia striata
Spotted crake,Porzana porzana
Common moorhen,Gallinula chloropus
Eurasian coot,Fulica atra
Grey-headed swamphen,Porphyrio poliocephalus
Ruddy-breasted crake,Zapornia fusca
Black-tailed crake,Zapornia bicolor
Brown crake,Zapornia akool
Baillon's crake,Zapornia pusilla
Little crake,Zapornia parva
Slaty-legged crake,Rallina eurizonoides
Andaman crake,Rallina canningi
Red-legged crake,Rallina fasciata
White-browed crake,Poliolimnas cinereus
Watercock,Gallicrex cinerea
White-breasted waterhen,Amaurornis phoenicurus
Siberian crane,Leucogeranus leucogeranus
Sarus crane,Antigone antigone
Demoiselle crane,Grus virgo
Common crane,Grus grus
Black-necked crane,Grus nigricollis
Little grebe,Tachybaptus ruficollis
Red-necked grebe,Podiceps grisegena
Great crested grebe,Podiceps cristatus
Horned grebe,Podiceps auritus
Black-necked grebe,Podiceps nigricollis
Greater flamingo,Phoenicopterus roseus
Lesser flamingo,Phoeniconaias minor
Common buttonquail,Turnix sylvaticus
Yellow-legged buttonquail,Turnix tanki
Barred buttonquail,Turnix suscitator
Indian stone-curlew,Burhinus indicus
Great stone-curlew,Esacus recurvirostris
Beach stone-curlew,Esacus magnirostris
Eurasian oystercatcher,Haematopus ostralegus
Ibisbill,Ibidorhyncha struthersii
Black-winged stilt,Himantopus himantopus
Pied avocet,Recurvirostra avosetta
Northern lapwing,Vanellus vanellus
River lapwing,Vanellus duvaucelii
Yellow-wattled lapwing,Vanellus malabaricus
Grey-headed lapwing,Vanellus cinereus
Red-wattled lapwing,Vanellus indicus
Sociable lapwing,Vanellus gregarius
White-tailed lapwing,Vanellus leucurus
European golden plover,Pluvialis apricaria
Pacific golden plover,Pluvialis fulva
American golden plover,Pluvialis dominica
Grey plover,Pluvialis squatarola
Common ringed plover,Charadrius hiaticula
Long-billed plover,Charadrius placidus
Little ringed plover,Charadrius dubius
Kentish plover,Charadrius alexandrinus
White-faced plover,Charadrius dealbatus
Lesser sand plover,Charadrius mongolus
Greater sand plover,Charadrius leschenaultii
Caspian plover,Charadrius asiaticus
Oriental plover,Charadrius veredus
Greater painted-snipe,Rostratula benghalensis
Pheasant-tailed jacana,Hydrophasianus chirurgus
Bronze-winged jacana,Metopidius indicus
Eurasian whimbrel,Numenius phaeopus
Eurasian curlew,Numenius arquata
Bar-tailed godwit,Limosa lapponica
Black-tailed godwit,Limosa limosa
Ruddy turnstone,Arenaria interpres
Great knot,Calidris tenuirostris
Red knot,Calidris canutus
Ruff,Calidris pugnax
Broad-billed sandpiper,Calidris falcinellus
Sharp-tailed sandpiper,Calidris acuminata
Stilt sandpiper,Calidris himantopus
Curlew sandpiper,Calidris ferruginea
Temminck's stint,Calidris temminckii
Long-toed stint,Calidris subminuta
Spoon-billed sandpiper,Calidris pygmaea
Red-necked stint,Calidris ruficollis
Sanderling,Calidris alba
Dunlin,Calidris alpina
Little stint,Calidris minuta
Buff-breasted sandpiper,Calidris subruficollis
Pectoral sandpiper,Calidris melanotos
Asian dowitcher,Limnodromus semipalmatus
Long-billed dowitcher,Limnodromus scolopaceus
Eurasian woodcock,Scolopax rusticola
Jack snipe,Lymnocryptes minimus
Solitary snipe,Gallinago solitaria
Wood snipe,Gallinago nemoricola
Pin-tailed snipe,Gallinago stenura
Swinhoe's snipe,Gallinago megala
Great snipe,Gallinago media
Common snipe,Gallinago gallinago
Terek sandpiper,Xenus cinereus
Red-necked phalarope,Phalaropus lobatus
Red phalarope,Phalaropus fulicarius
Common sandpiper,Actitis hypoleucos
Green sandpiper,Tringa ochropus
Grey-tailed tattler,Tringa brevipes
Common redshank,Tringa totanus
Marsh sandpiper,Tringa stagnatilis
Wood sandpiper,Tringa glareola
Spotted redshank,Tringa erythropus
Common greenshank,Tringa nebularia
Nordmann's greenshank,Tringa guttifer
Crab-plover,Dromas ardeola
Cream-coloured courser,Cursorius cursor
Indian courser,Cursorius coromandelicus
Jerdon's courser,Rhinoptilus bitorquatus
Collared pratincole,Glareola pratincola
Oriental pratincole,Glareola maldivarum
Small pratincole,Glareola lactea
Brown noddy,Anous stolidus
Lesser noddy,Anous tenuirostris
Black noddy,Anous minutus
White tern,Gygis alba
Indian skimmer,Rynchops albicollis
Black-legged kittiwake,Rissa tridactyla
Sabine's gull,Xema sabini
Slender-billed gull,Chroicocephalus genei
Brown-headed gull,Chroicocephalus brunnicephalus
Black-headed gull,Chroicocephalus ridibundus
Little gull,Hydrocoloeus minutus
Franklin's gull,Leucophaeus pipixcan
Pallas's gull,Ichthyaetus ichthyaetus
White-eyed gull,Ichthyaetus leucophthalmus
Sooty gull,Ichthyaetus hemprichii
Common gull,Larus canus
Vega gull,Larus vegae
Caspian gull,Larus cachinnans
Lesser black-backed gull,Larus fuscus
Gull-billed tern,Gelochelidon nilotica
Caspian tern,Hydroprogne caspia
Greater crested tern,Thalasseus bergii
Lesser crested tern,Thalasseus bengalensis
Sandwich tern,Thalasseus sandvicensis
Little tern,Sternula albifrons
Saunders's tern,Sternula saundersi
Bridled tern,Onychoprion anaethetus
Sooty tern,Onychoprion fuscatus
River tern,Sterna aurantia
Roseate tern,Sterna dougallii
Black-naped tern,Sterna sumatrana
Common tern,Sterna hirundo
White-cheeked tern,Sterna repressa
Arctic tern,Sterna paradisaea
Black-bellied tern,Sterna acuticauda
Whiskered tern,Chlidonias hybrida
White-winged tern,Chlidonias leucopterus
Black tern,Chlidonias niger
South polar skua,Stercorarius maccormicki
Brown skua,Stercorarius antarcticus
Pomarine jaeger,Stercorarius pomarinus
Parasitic jaeger,Stercorarius parasiticus
Long-tailed jaeger,Stercorarius longicaudus
Red-billed tropicbird,Phaethon aethereus
Red-tailed tropicbird,Phaethon rubricauda
White-tailed tropicbird,Phaethon lepturus
Red-throated loon,Gavia stellata
Black-throated loon,Gavia arctica
Wilson's storm petrel,Oceanites oceanicus
White-faced storm petrel,Pelagodroma marina
White-bellied storm petrel,Fregetta grallaria
Black-bellied storm petrel,Fregetta tropica
Light-mantled albatross,Phoebetria palpebrata
Swinhoe's storm petrel,Hydrobates monorhis
Barau's petrel,Pterodroma baraui
Streaked shearwater,Calonectris leucomelas
Cory's shearwater,Calonectris borealis
Wedge-tailed shearwater,Ardenna pacifica
Sooty shearwater,Ardenna grisea
Short-tailed shearwater,Ardenna tenuirostris
Flesh-footed shearwater,Ardenna carneipes
Persian shearwater,Puffinus persicus
Tropical shearwater,Puffinus bailloni
Jouanin's petrel,Bulweria fallax
Painted stork,Mycteria leucocephala
Asian openbill,Anastomus oscitans
African openbill,Anastomus lamelligerus
Black stork,Ciconia nigra
Asian woolly-necked stork,Ciconia episcopus
White stork,Ciconia ciconia
Black-necked stork,Ephippiorhynchus asiaticus
Lesser adjutant,Leptoptilos javanicus
Greater adjutant,Leptoptilos dubius
Christmas frigatebird,Fregata andrewsi
Great frigatebird,Fregata minor
Lesser frigatebird,Fregata ariel
Masked booby,Sula dactylatra
Red-footed booby,Sula sula
Brown booby,Sula leucogaster
Oriental darter,Anhinga melanogaster
Little cormorant,Microcarbo niger
Indian cormorant,Phalacrocorax fuscicollis
Great cormorant,Phalacrocorax carbo
Black-headed ibis,Threskiornis melanocephalus
Red-naped ibis,Pseudibis papillosa
Glossy ibis,Plegadis falcinellus
Eurasian spoonbill,Platalea leucorodia
Eurasian bittern,Botaurus stellaris
Little bittern,Ixobrychus minutus
Yellow bittern,Ixobrychus sinensis
Cinnamon bittern,Ixobrychus cinnamomeus
Black bittern,Ixobrychus flavicollis
White-eared night heron,Gorsachius magnificus
Malayan night heron,Gorsachius melanolophus
Black-crowned night heron,Nycticorax nycticorax
Striated heron,Butorides striata
Indian pond heron,Ardeola grayii
Chinese pond heron,Ardeola bacchus
Javan pond heron,Ardeola speciosa
Eastern cattle egret,Bubulcus coromandus
Grey heron,Ardea cinerea
White-bellied heron,Ardea insignis
Goliath heron,Ardea goliath
Purple heron,Ardea purpurea
Great egret,Ardea alba
Intermediate egret,Ardea intermedia
Little egret,Egretta garzetta
Western reef heron,Egretta gularis
Pacific reef heron,Egretta sacra
Chinese egret,Egretta eulophotes
Great white pelican,Pelecanus onocrotalus
Spot-billed pelican,Pelecanus philippensis
Dalmatian pelican,Pelecanus crispus
Osprey,Pandion haliaetus
Black-winged kite,Elanus caeruleus
Bearded vulture,Gypaetus barbatus
Egyptian vulture,Neophron percnopterus
European honey buzzard,Pernis apivorus
Crested honey buzzard,Pernis ptilorhynchus
Jerdon's baza,Aviceda jerdoni
Black baza,Aviceda leuphotes
White-rumped vulture,Gyps bengalensis
Indian vulture,Gyps indicus
Slender-billed vulture,Gyps tenuirostris
Himalayan vulture,Gyps himalayensis
Griffon vulture,Gyps fulvus
Red-headed vulture,Sarcogyps calvus
Cinereous vulture,Aegypius monachus
Crested serpent eagle,Spilornis cheela
Great Nicobar serpent eagle,Spilornis klossi
Andaman serpent eagle,Spilornis elgini
Short-toed snake eagle,Circaetus gallicus
Changeable hawk-eagle,Nisaetus cirrhatus
Mountain hawk-eagle,Nisaetus nipalensis
Legge's hawk-eagle,Nisaetus kelaarti[29]
Rufous-bellied eagle,Lophotriorchis kienerii
Black eagle,Ictinaetus malaiensis
Indian spotted eagle,Clanga hastata
Greater spotted eagle,Clanga clanga
Booted eagle,Hieraaetus pennatus[30]
Tawny eagle,Aquila rapax
Steppe eagle,Aquila nipalensis
Eastern imperial eagle,Aquila heliaca
Golden eagle,Aquila chrysaetos
Bonelli's eagle,Aquila fasciata
Crested goshawk,Accipiter trivirgatus
Shikra,Accipiter badius
Nicobar sparrowhawk,Accipiter butleri
Chinese sparrowhawk,Accipiter soloensis
Japanese sparrowhawk,Accipiter gularis
Besra,Accipiter virgatus
Eurasian sparrowhawk,Accipiter nisus
Eurasian goshawk,Accipiter gentilis
Western marsh harrier,Circus aeruginosus
Eastern marsh harrier,Circus spilonotus
Hen harrier,Circus cyaneus
Pallid harrier,Circus macrourus
Pied harrier,Circus melanoleucos
Montagu's harrier,Circus pygargus
Red kite,Milvus milvus
Black kite,Milvus migrans
Brahminy kite,Haliastur indus
White-bellied sea eagle,Haliaeetus leucogaster
Pallas's fish eagle,Haliaeetus leucoryphus
White-tailed eagle,Haliaeetus albicilla
Lesser fish eagle,Haliaeetus humilis
Grey-headed fish eagle,Haliaeetus ichthyaetus
White-eyed buzzard,Butastur teesa
Rufous-winged buzzard,Butastur liventer
Grey-faced buzzard,Butastur indicus
Rough-legged buzzard,Buteo lagopus
Upland buzzard,Buteo hemilasius
Himalayan buzzard,Buteo refectus
Long-legged buzzard,Buteo rufinus
Common buzzard,Buteo buteo
Eastern barn owl,Tyto javanica
Andaman masked owl,Tyto deroepstorffi
Eastern grass owl,Tyto longimembris
Oriental bay owl,Phodilus badius
Sri Lanka bay owl,Phodilus assimilis
Andaman scops owl,Otus balli
Mountain scops owl,Otus spilocephalus
Indian scops owl,Otus bakkamoena
Collared scops owl,Otus lettia
Pallid scops owl,Otus brucei
Eurasian scops owl,Otus scops
Oriental scops owl,Otus sunia
Nicobar scops owl,Otus alius
Eurasian eagle-owl,Bubo bubo
Indian eagle-owl,Bubo bengalensis
Spot-bellied eagle-owl,Bubo nipalensis
Dusky eagle-owl,Bubo coromandus
Brown fish owl,Ketupa zeylonensis
Tawny fish owl,Ketupa flavipes
Buffy fish owl,Ketupa ketupu
Mottled wood owl,Strix ocellata
Brown wood owl,Strix leptogrammica
Tawny owl,Strix aluco
Himalayan owl,Strix nivicolum
Collared owlet,Taenioptynx brodiei
Asian barred owlet,Glaucidium cuculoides
Jungle owlet,Glaucidium radiatum
Little owl,Athene noctua
Spotted owlet,Athene brama
Forest owlet,Athene blewitti
Boreal owl,Aegolius funereus
Brown boobook,Ninox scutulata
Hume's boobook,Ninox obscura
Andaman boobook,Ninox affinis
Long-eared owl,Asio otus
Short-eared owl,Asio flammeus
Malabar trogon,Harpactes fasciatus
Red-headed trogon,Harpactes erythrocephalus
Ward's trogon,Harpactes wardi
Eurasian hoopoe,Upupa epops
Great hornbill,Buceros bicornis
Oriental pied hornbill,Anthracoceros albirostris
Malabar pied hornbill,Anthracoceros coronatus
Malabar grey hornbill,Ocyceros griseus
Indian grey hornbill,Ocyceros birostris
Austen's brown hornbill,Anorrhinus austeni
Rufous-necked hornbill,Aceros nipalensis
Narcondam hornbill,Rhyticeros narcondami
Wreathed hornbill,Rhyticeros undulatus
Indian roller,Coracias benghalensis
Indochinese roller,Coracias affinis
European roller,Coracias garrulus
Oriental dollarbird,Eurystomus orientalis
Stork-billed kingfisher,Pelargopsis capensis
Brown-winged kingfisher,Pelargopsis amauroptera
Ruddy kingfisher,Halcyon coromanda
White-throated kingfisher,Halcyon smyrnensis
Black-capped kingfisher,Halcyon pileata
Collared kingfisher,Todiramphus chloris
Blue-eared kingfisher,Alcedo meninting
Common kingfisher,Alcedo atthis
Blyth's kingfisher,Alcedo hercules
Oriental dwarf kingfisher,Ceyx erithaca
Crested kingfisher,Megaceryle lugubris
Pied kingfisher,Ceryle rudis
Blue-bearded bee-eater,Nyctyornis athertoni
Asian green bee-eater,Merops orientalis
Blue-cheeked bee-eater,Merops persicus
Blue-tailed bee-eater,Merops philippinus
Blue-throated bee-eater,Merops viridis
Chestnut-headed bee-eater,Merops leschenaulti
European bee-eater,Merops apiaster
Great barbet,Psilopogon virens
Brown-headed barbet,Psilopogon zeylanicus
Lineated barbet,Psilopogon lineatus
White-cheeked barbet,Psilopogon viridis
Golden-throated barbet,Psilopogon franklinii
Blue-throated barbet,Psilopogon asiaticus
Blue-eared barbet,Psilopogon duvaucelii
Malabar barbet,Psilopogon malabaricus
Coppersmith barbet,Psilopogon haemacephalus
Yellow-rumped honeyguide,Indicator xanthonotus
Eurasian wryneck,Jynx torquilla
Speckled piculet,Picumnus innominatus
White-browed piculet,Sasia ochracea
Heart-spotted woodpecker,Hemicircus canente
Brown-capped pygmy woodpecker,Yungipicus nanus
Grey-capped pygmy woodpecker,Yungipicus canicapillus
Brown-fronted woodpecker,Dendrocoptes auriceps
Yellow-crowned woodpecker,Leiopicus mahrattensis
Crimson-naped woodpecker,Dryobates cathpharius
Necklaced woodpecker,Dryobates pernyii
Rufous-bellied woodpecker,Dendrocopos hyperythrus
Fulvous-breasted woodpecker,Dendrocopos macei
Freckle-breasted woodpecker,Dendrocopos analis
Stripe-breasted woodpecker,Dendrocopos atratus
Darjeeling woodpecker,Dendrocopos darjellensis
Himalayan woodpecker,Dendrocopos himalayensis
Sind woodpecker,Dendrocopos assimilis
Great spotted woodpecker,Dendrocopos major
White-bellied woodpecker,Dryocopus javensis
Andaman woodpecker,Dryocopus hodgei
Greater yellownape,Chrysophlegma flavinucha
Lesser yellownape,Picus chlorolophus
Streak-throated woodpecker,Picus xanthopygaeus
Scaly-bellied woodpecker,Picus squamatus
Grey-headed woodpecker,Picus canus
Himalayan flameback,Dinopium shorii
Common flameback,Dinopium javanense
Black-rumped flameback,Dinopium benghalense
Greater flameback,Chrysocolaptes guttacristatus
Malabar flameback,Chrysocolaptes socialis
White-naped woodpecker,Chrysocolaptes festivus
Pale-headed woodpecker,Gecinulus grantia
Bay woodpecker,Blythipicus pyrrhotis
Rufous woodpecker,Micropternus brachyurus
Great slaty woodpecker,Mulleripicus pulverulentus
Collared falconet,Microhierax caerulescens
Pied falconet,Microhierax melanoleucos
Lesser kestrel,Falco naumanni
Common kestrel,Falco tinnunculus
Red-necked falcon,Falco chicquera
Red-footed falcon,Falco vespertinus
Amur falcon,Falco amurensis
Merlin,Falco columbarius
Eurasian hobby,Falco subbuteo
Oriental hobby,Falco severus
Laggar falcon,Falco jugger
Saker falcon,Falco cherrug
Peregrine falcon,Falco peregrinus
Grey-headed parakeet,Psittacula finschii
Slaty-headed parakeet,Psittacula himalayana
Blossom-headed parakeet,Psittacula roseata
Plum-headed parakeet,Psittacula cyanocephala
Red-breasted parakeet,Psittacula alexandri
Lord Derby's parakeet,Psittacula derbiana
Long-tailed parakeet,Psittacula longicauda
Blue-winged parakeet,Psittacula columboides
Alexandrine parakeet,Psittacula eupatria
Rose-ringed parakeet,Psittacula krameri
Nicobar parakeet,Psittacula caniceps
Vernal hanging parrot,Loriculus vernalis
Long-tailed broadbill,Psarisomus dalhousiae
Grey-lored broadbill,Serilophus rubropygius
Blue-naped pitta,Hydrornis nipalensis
Blue pitta,Hydrornis cyanea
Indian pitta,Pitta brachyura
Blue-winged pitta,Pitta moluccensis
Mangrove pitta,Pitta megarhyncha
Hooded pitta,Pitta sordida
Bar-winged flycatcher-shrike,Hemipus picatus
Large woodshrike,Tephrodornis virgatus
Malabar woodshrike,Tephrodornis sylvicola
Common woodshrike,Tephrodornis pondicerianus
Ashy woodswallow,Artamus fuscus
White-breasted woodswallow,Artamus leucorynchus
Common iora,Aegithina tiphia
Marshall's iora,Aegithina nigrolutea
White-bellied minivet,Pericrocotus erythropygius
Small minivet,Pericrocotus cinnamomeus
Grey-chinned minivet,Pericrocotus solaris
Short-billed minivet,Pericrocotus brevirostris
Long-tailed minivet,Pericrocotus ethologus
Orange minivet,Pericrocotus flammeus
Scarlet minivet,Pericrocotus speciosus
Ashy minivet,Pericrocotus divaricatus
Swinhoe's minivet,Pericrocotus cantonensis
Rosy minivet,Pericrocotus roseus
Large cuckooshrike,Coracina macei
Bar-bellied cuckooshrike,Coracina striata
Andaman cuckooshrike,Coracina dobsoni
Pied triller,Lalage nigra
Black-winged cuckooshrike,Lalage melaschistos
Black-headed cuckooshrike,Lalage melanoptera
Mangrove whistler,Pachycephala cinerea
Brown shrike,Lanius cristatus
Red-backed shrike,Lanius collurio
Isabelline shrike,Lanius isabellinus
Red-tailed shrike,Lanius phoenicuroides
Burmese shrike,Lanius collurioides
Bay-backed shrike,Lanius vittatus
Long-tailed shrike,Lanius schach
Grey-backed shrike,Lanius tephronotus
Lesser grey shrike,Lanius minor
Great grey shrike,Lanius excubitor
Woodchat shrike,Lanius senator
Masked shrike,Lanius nubicus
White-bellied erpornis,Erpornis zantholeuca
Black-headed shrike-babbler,Pteruthius rufiventer
Himalayan shrike-babbler,Pteruthius ripleyi
Blyth's shrike-babbler,Pteruthius aeralatus
Green shrike-babbler,Pteruthius xanthochlorus
Black-eared shrike-babbler,Pteruthius melanotis
Clicking shrike-babbler,Pteruthius intermedius
Maroon oriole,Oriolus traillii
Black-hooded oriole,Oriolus xanthornus
Indian golden oriole,Oriolus kundoo
Eurasian golden oriole,Oriolus oriolus
Black-naped oriole,Oriolus chinensis
Slender-billed oriole,Oriolus tenuirostris
Bronzed drongo,Dicrurus aeneus
Lesser racket-tailed drongo,Dicrurus remifer
Crow-billed drongo,Dicrurus annectens
Greater racket-tailed drongo,Dicrurus paradiseus
Andaman drongo,Dicrurus andamanensis
Hair-crested drongo,Dicrurus hottentottus
Ashy drongo,Dicrurus leucophaeus
White-bellied drongo,Dicrurus caerulescens
Black drongo,Dicrurus macrocercus
White-throated fantail,Rhipidura albicollis
White-spotted fantail,Rhipidura albogularis
White-browed fantail,Rhipidura aureola
Black-naped monarch,Hypothymis azurea
Indian paradise flycatcher,Terpsiphone paradisi
Blyth's paradise flycatcher,Terpsiphone affinis
Amur paradise flycatcher,Terpsiphone incei
Eurasian jay,Garrulus glandarius
Black-headed jay,Garrulus lanceolatus
Yellow-billed blue magpie,Urocissa flavirostris
Red-billed blue magpie,Urocissa erythroryncha
Common green magpie,Cissa chinensis
Rufous treepie,Dendrocitta vagabunda
Grey treepie,Dendrocitta formosae
White-bellied treepie,Dendrocitta leucogastra
Collared treepie,Dendrocitta frontalis
Andaman treepie,Dendrocitta bayleii
Eurasian magpie,Pica pica
Black-rumped magpie,Pica bottanensis
Eurasian nutcracker,Nucifraga caryocatactes
Kashmir nutcracker,Nucifraga multipunctata
Red-billed chough,Pyrrhocorax pyrrhocorax
Alpine chough,Pyrrhocorax graculus
Western jackdaw,Coloeus monedula
House crow,Corvus splendens
Rook,Corvus frugilegus
Carrion crow,Corvus corone
Hooded crow,Corvus cornix
Large-billed crow,Corvus macrorhynchos
Eastern jungle crow,Corvus levaillantii
Indian jungle crow,Corvus culminatus
Pied crow,Corvus albus
Northern raven,Corvus corax
Bohemian waxwing,Bombycilla garrulus
Grey hypocolius,Hypocolius ampelinus
