SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Iodopleura pipra,Buff-throated Purpletuft,butpur1,species,16012.0,BTPU,IOPI,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Iodopleura pipra leucopygia,Buff-throated Purpletuft (Northern),butpur2,issf,16013.0,BTPU,IOPI,,Passeriformes,Tityras and Allies,Tityridae,butpur1,,,tityri1
Iodopleura pipra pipra,Buff-throated Purpletuft (Southern),butpur3,issf,16014.0,BTPU,IOPI,,Passeriformes,Tityras and Allies,Tityridae,butpur1,,,tityri1
Laniisoma buckleyi,Andean Laniisoma,shlcot2,species,16015.0,ANLA ANMO,LABU,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Laniisoma elegans,Brazilian Laniisoma,shlcot3,species,16019.0,ELLA ELMO BRLA,LAEL,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Xenopsaris albinucha,White-naped Xenopsaris,whnxen1,species,16020.0,WNXE,XEAL,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus viridis,Green-backed Becard,grbbec1,species,16023.0,GBCC GBCB GBBE,PAVI,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus viridis xanthogenys/peruanus,Green-backed Becard (Yellow-cheeked),gnbbec2,issf,16024.0,GBCC GBCB YCBE GBBE,PAVI,,Passeriformes,Tityras and Allies,Tityridae,grbbec1,,,tityri1
Pachyramphus viridis griseigularis,Green-backed Becard (Green-cheeked),gnbbec3,issf,16027.0,GBCC GBBE GBCB,PAVI,,Passeriformes,Tityras and Allies,Tityridae,grbbec1,,,tityri1
Pachyramphus viridis viridis,Green-backed Becard (Green-backed),gnbbec1,issf,16028.0,GBCC GBCB GBBE,PAVI,,Passeriformes,Tityras and Allies,Tityridae,grbbec1,,,tityri1
Pachyramphus versicolor,Barred Becard,barbec1,species,16029.0,,PAVE,BABE,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus spodiurus,Slaty Becard,slabec1,species,16033.0,SLBE,PASP,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus rufus,Cinereous Becard,cinbec2,species,16034.0,CIBE,PARU,CIRB,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus cinnamomeus,Cinnamon Becard,cinbec1,species,16037.0,CIBE,PACI,CIMB,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus castaneus,Chestnut-crowned Becard,chcbec1,species,16042.0,CCBE,PACA,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus polychopterus,White-winged Becard,whwbec1,species,16048.0,,PAPO,WWBE,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus albogriseus,Black-and-white Becard,bawbec7,species,16057.0,,PAAL,BAWB,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus salvini,Cryptic Becard,bawbec6,species,16060.0,BAWB CRBE,PASA,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus albogriseus/salvini,Black-and-white/Cryptic Becard,bawbec1,slash,16061.0,BAWB CRBE,PAAL PASA,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus major,Gray-collared Becard,grcbec1,species,16062.0,EGCB,PAMA,GCBE,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus major uropygialis,Gray-collared Becard (Western),gycbec2,issf,16063.0,EGCB GCBE,PAMA,,Passeriformes,Tityras and Allies,Tityridae,grcbec1,,,tityri1
Pachyramphus major [major Group],Gray-collared Becard (Eastern),gycbec1,issf,16064.0,EGCB GCBE,PAMA,,Passeriformes,Tityras and Allies,Tityridae,grcbec1,,,tityri1
Pachyramphus marginatus,Black-capped Becard,blcbec1,species,16069.0,BCBE,PAMA,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus surinamus,Glossy-backed Becard,glbbec1,species,16072.0,GBBE,PASU,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus aglaiae,Rose-throated Becard,rotbec,species,16073.0,,PAAG,RTBE,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus niger,Jamaican Becard,jambec1,species,16082.0,,PANI,JABE,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus homochrous,One-colored Becard,oncbec1,species,16083.0,,PAHO,OCBE,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus minor,Pink-throated Becard,pitbec1,species,16087.0,PTBE,PAMI,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus validus,Crested Becard,crebec1,species,16088.0,CRBE,PAVA,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Pachyramphus sp.,becard sp.,becard1,spuh,16091.0,,,,Passeriformes,Tityras and Allies,Tityridae,,,,tityri1
Oxyruncus cristatus,Sharpbill,sharpb1,species,16093.0,,OXCR,SHAR,Passeriformes,Sharpbill,Oxyruncidae,,,,oxyrun1
Onychorhynchus coronatus,Tropical Royal Flycatcher,royfly1,species,16101.0,RFSP TRFL,ONCO,ROFL,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,,,,rfaall1
Onychorhynchus coronatus mexicanus/fraterculus,Tropical Royal Flycatcher (Northern),royfly2,issf,16102.0,ROFL TRFL RFSP,ONCO,,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,royfly1,,,rfaall1
Onychorhynchus coronatus occidentalis,Tropical Royal Flycatcher (Pacific),royfly3,issf,16105.0,ROFL RFSP TRFL,ONCO,,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,royfly1,,,rfaall1
Onychorhynchus coronatus coronatus/castelnaui,Tropical Royal Flycatcher (Amazonian),royfly4,issf,16106.0,ROFL TRFL RFSP,ONCO,,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,royfly1,,,rfaall1
Onychorhynchus swainsoni,Atlantic Royal Flycatcher,royfly5,species,16109.0,ARFL,ONSW,ROFL,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,,,,rfaall1
Terenotriccus erythrurus,Ruddy-tailed Flycatcher,rutfly2,species,16110.0,RTFL,TEER,RDTF,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,,,,rfaall1
Myiobius villosus,Tawny-breasted Flycatcher,tabfly1,species,16119.0,TBMY,MYVI,TBFL,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,,,,rfaall1
Myiobius sulphureipygius,Sulphur-rumped Flycatcher,surfly1,species,16124.0,SRMY,MYSU,SRFL,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,,,,rfaall1
Myiobius barbatus,Whiskered Flycatcher,whifly1,species,16127.0,WHMY WHFL,MYBA,,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,,,,rfaall1
Myiobius barbatus [barbatus Group],Whiskered Flycatcher (Whiskered),surfly4,issf,16128.0,WHMY WHFL,MYBA,,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,whifly1,,,rfaall1
Myiobius barbatus mastacalis,Whiskered Flycatcher (Yellow-rumped),surfly5,issf,16133.0,WHMY WHFL,MYBA,,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,whifly1,,,rfaall1
Myiobius atricaudus,Black-tailed Flycatcher,bltfly1,species,16134.0,BTMY,MYAT,BTFL,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,,,,rfaall1
Myiobius atricaudus [atricaudus Group],Black-tailed Flycatcher (Black-tailed),bktfly1,issf,16135.0,BTMY BTFL,MYAT,,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,bltfly1,,,rfaall1
Myiobius atricaudus ridgwayi,Black-tailed Flycatcher (Buff-rumped),bktfly2,issf,16142.0,BTMY BTFL,MYAT,,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,bltfly1,,,rfaall1
Myiobius sulphureipygius/atricaudus,Sulphur-rumped/Black-tailed Flycatcher,y01037,slash,16143.0,BTMY SRFL SRMY BTFL,MYSU MYAT,,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,,,,rfaall1
Myiobius barbatus/atricaudus,Whiskered/Black-tailed Flycatcher,y01038,slash,16144.0,BTMY WHMY WHFL BTFL,MYAT MYBA,,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,,,,rfaall1
Myiobius sp.,Myiobius sp.,myiobi1,spuh,16145.0,,,,Passeriformes,Royal Flycatchers and Allies,Onychorhynchidae,,,,rfaall1
Piprites chloris,Wing-barred Piprites,wibpip1,species,16147.0,WBPI,PICH,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Piprites griseiceps,Gray-headed Piprites,grhpip1,species,16155.0,,PIGR,GHPI,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Piprites pileata,Black-capped Piprites,bkcpip1,species,16156.0,BCPI,PIPI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Neopipo cinnamomea,Cinnamon Manakin-Tyrant,cinmat1,species,16157.0,CMTY CINE CIMT,NECI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Calyptura cristata,Kinglet Calyptura,kincal1,species,16160.0,KICA,CACR,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Platyrinchus saturatus,Cinnamon-crested Spadebill,cicspa1,species,16161.0,CCSP,PLSA,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Platyrinchus cancrominus,Stub-tailed Spadebill,sttspa1,species,16164.0,STSP,PLCA,SBTS,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Platyrinchus mystaceus,White-throated Spadebill,whtspa1,species,16165.0,EWTS WTSP,PLMY,WTRS,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Platyrinchus mystaceus [albogularis Group],White-throated Spadebill (Western),whtspa2,issf,16166.0,EWTS WTSP WTRS,PLMY,,Passeriformes,Tyrant Flycatchers,Tyrannidae,whtspa1,,,tyrann2
Platyrinchus mystaceus [mystaceus Group],White-throated Spadebill (Eastern),whtspa3,issf,16172.0,EWTS WTSP WTRS,PLMY,,Passeriformes,Tyrant Flycatchers,Tyrannidae,whtspa1,,,tyrann2
Platyrinchus coronatus,Golden-crowned Spadebill,gocspa1,species,16182.0,GCSP,PLCO,GCRS,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Platyrinchus flavigularis,Yellow-throated Spadebill,yetspa1,species,16186.0,YTSP,PLFL,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Platyrinchus platyrhynchos,White-crested Spadebill,whcspa1,species,16189.0,WCSP,PLPL,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Platyrinchus leucoryphus,Russet-winged Spadebill,ruwspa1,species,16194.0,RWSP,PLLE,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Platyrinchus sp.,spadebill sp.,spadeb1,spuh,16195.0,,,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Tachuris rubrigastra,Many-colored Rush Tyrant,mcrtyr1,species,16196.0,MCRT,TARU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes striaticollis,Streak-necked Flycatcher,stnfly1,species,16201.0,SNFL,MIST,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes olivaceus,Olive-streaked Flycatcher,olsfly2,species,16206.0,OSFL,MIOL,OSTF,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes galbinus,Olive-striped Flycatcher,olsfly1,species,16207.0,OSFL,MIGA,OSTF,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes striaticollis/galbinus,Streak-necked/Olive-striped Flycatcher,y00796,slash,16212.0,OSTF SNFL OSFL,MIST MIGA,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes olivaceus/galbinus,Olive-streaked/Olive-striped Flycatcher,y01249,slash,16213.0,OSFL,MIOL MIGA,OSTF,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes oleagineus,Ochre-bellied Flycatcher,ocbfly1,species,16214.0,,MIOL,OBFL,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes oleagineus assimilis,Ochre-bellied Flycatcher (assimilis),ocbfly3,issf,16215.0,OBFL,MIOL,,Passeriformes,Tyrant Flycatchers,Tyrannidae,ocbfly1,,,tyrann2
Mionectes oleagineus parcus,Ochre-bellied Flycatcher (parcus),ocbfly4,issf,16216.0,OBFL,MIOL,,Passeriformes,Tyrant Flycatchers,Tyrannidae,ocbfly1,,,tyrann2
Mionectes oleagineus pacificus,Ochre-bellied Flycatcher (pacificus),ocbfly5,issf,16217.0,OBFL,MIOL,,Passeriformes,Tyrant Flycatchers,Tyrannidae,ocbfly1,,,tyrann2
Mionectes oleagineus [oleagineus Group],Ochre-bellied Flycatcher (oleagineus Group),ocbfly10,issf,16218.0,OBFL,MIOL,,Passeriformes,Tyrant Flycatchers,Tyrannidae,ocbfly1,,,tyrann2
Mionectes macconnelli,McConnell's Flycatcher,mccfly1,species,16223.0,MCFL,MIMA,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes macconnelli macconnelli,McConnell's Flycatcher (Guianan),mccfly2,issf,16224.0,MCFL,MIMA,,Passeriformes,Tyrant Flycatchers,Tyrannidae,mccfly1,,,tyrann2
Mionectes macconnelli amazonus/peruanus,McConnell's Flycatcher (Inambari),mccfly4,issf,16225.0,MCFL,MIMA,,Passeriformes,Tyrant Flycatchers,Tyrannidae,mccfly1,,,tyrann2
Mionectes oleagineus/macconnelli,Ochre-bellied/McConnell's Flycatcher,y00797,slash,16228.0,MCFL OBFL,MIMA MIOL,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes roraimae,Sierra de Lema Flycatcher,mccfly3,species,16229.0,SDLF,MIRO,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes macconnelli/roraimae,McConnell's/Sierra de Lema Flycatcher,y00406,slash,16230.0,MCFL SDLF,MIMA MIRO,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes rufiventris,Gray-hooded Flycatcher,gyhfly1,species,16231.0,GHFL,MIRU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Mionectes sp.,Mionectes sp.,mionec1,spuh,16232.0,,,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Leptopogon amaurocephalus,Sepia-capped Flycatcher,secfly1,species,16233.0,SCFL,LEAM,SECF,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Leptopogon superciliaris,Slaty-capped Flycatcher,slcfly1,species,16240.0,SCFL SCBF,LESU,SLCF,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Leptopogon superciliaris transandinus,Slaty-capped Flycatcher (transandinus),slcfly4,issf,16241.0,SCFL SCBF SLCF,LESU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,slcfly1,,,tyrann2
Leptopogon superciliaris superciliaris,Slaty-capped Flycatcher (superciliaris),slcfly2,issf,16242.0,SCFL SLCF SCBF,LESU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,slcfly1,,,tyrann2
Leptopogon superciliaris albidiventer,Slaty-capped Flycatcher (albidiventer),slcfly3,issf,16243.0,SCFL SCBF SLCF,LESU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,slcfly1,,,tyrann2
Leptopogon rufipectus,Rufous-breasted Flycatcher,rubfly2,species,16244.0,RBFL,LERU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Leptopogon taczanowskii,Inca Flycatcher,incfly1,species,16245.0,INFL,LETA,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pogonotriccus difficilis,Serra do Mar Bristle-Tyrant,sdmtyr2,species,16246.0,SDMB SDMT,PODI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pogonotriccus eximius,Southern Bristle-Tyrant,sobtyr2,species,16247.0,SOBT SBTY,POEX,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pogonotriccus ophthalmicus,Marble-faced Bristle-Tyrant,mfbtyr1,species,16248.0,MFBT,POOP,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pogonotriccus lanyoni,Antioquia Bristle-Tyrant,anbtyr1,species,16252.0,ABTY ANBT,POLA,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pogonotriccus paulista,Sao Paulo Bristle-Tyrant,saptyr1,species,16253.0,SPTY SPBT,POPA,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pogonotriccus poecilotis,Variegated Bristle-Tyrant,vabtyr1,species,16254.0,VBTY VABT,POPO,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pogonotriccus venezuelanus,Venezuelan Bristle-Tyrant,vebtyr2,species,16255.0,VBTY VEBT,POVE,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pogonotriccus orbitalis,Spectacled Bristle-Tyrant,spbtyr1,species,16256.0,SPBT SBTY,POOR,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pogonotriccus chapmani,Chapman's Bristle-Tyrant,chabrt1,species,16257.0,CHBT CBTY,POCH,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes oustaleti,Oustalet's Tyrannulet,oustyr1,species,16260.0,OUTY,PHOU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes flavovirens,Yellow-green Tyrannulet,yegtyr1,species,16261.0,PATY,PHFL,YGTY,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes virescens,Olive-green Tyrannulet,olgtyr1,species,16262.0,OGTY,PHVI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes ventralis,Mottle-cheeked Tyrannulet,moctyr2,species,16263.0,MCTY,PHVE,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes beckeri,Bahia Tyrannulet,bahtyr1,species,16267.0,BATY,PHBE,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes kronei,Restinga Tyrannulet,restyr1,species,16268.0,RETY,PHKR,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes sylviolus,Bay-ringed Tyrannulet,bartyr1,species,16269.0,BRTY,PHSY,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes ceciliae,Alagoas Tyrannulet,alatyr1,species,16270.0,ALTY,PHCE,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes roquettei,Minas Gerais Tyrannulet,migtyr1,species,16271.0,MGTY,PHRO,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes superciliaris,Rufous-browed Tyrannulet,rubtyr1,species,16272.0,,PHSU,RBTY,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes nigrifrons,Black-fronted Tyrannulet,blftyr1,species,16276.0,BFTY,PHNI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes flaviventris,Rufous-lored Tyrannulet,rultyr1,species,16277.0,RLTY,PHFL,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes gualaquizae,Ecuadorian Tyrannulet,ecutyr1,species,16278.0,ECTY,PHGU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes parkeri,Cinnamon-faced Tyrannulet,ciftyr1,species,16279.0,CFTY,PHPA,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Phylloscartes sp.,Phylloscartes sp.,phyllo2,spuh,16280.0,,,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pseudotriccus pelzelni,Bronze-olive Pygmy-Tyrant,boptyr1,species,16281.0,,PSPE,BOPT,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pseudotriccus pelzelni annectens/berlepschi,Bronze-olive Pygmy-Tyrant (annectens/berlepschi),bropyt1,issf,16282.0,BOPT,PSPE,,Passeriformes,Tyrant Flycatchers,Tyrannidae,boptyr1,,,tyrann2
Pseudotriccus pelzelni pelzelni/peruvianus,Bronze-olive Pygmy-Tyrant (pelzelni/peruvianus),bropyt2,issf,16285.0,BOPT,PSPE,,Passeriformes,Tyrant Flycatchers,Tyrannidae,boptyr1,,,tyrann2
Pseudotriccus simplex,Hazel-fronted Pygmy-Tyrant,hfptyr1,species,16288.0,HFPT,PSSI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Pseudotriccus ruficeps,Rufous-headed Pygmy-Tyrant,rhptyr1,species,16289.0,RHPT,PSRU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Corythopis torquatus,Ringed Antpipit,rinant2,species,16290.0,RIAN,COTO,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Corythopis delalandi,Southern Antpipit,souant1,species,16294.0,SOAN,CODE,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Myiornis auricularis,Eared Pygmy-Tyrant,eaptyr1,species,16295.0,EAPT EPTY,MYAU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Myiornis auricularis [undescribed form],Eared Pygmy-Tyrant (Pernambuco),earpyt3,form,16298.0,EAPT EPTY,MYAU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,eaptyr1,,,tyrann2
Myiornis [undescribed form],Maranhao-Piaui Pygmy-Tyrant (undescribed form),mappyt1,form,16299.0,MPPT,,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Myiornis albiventris,White-bellied Pygmy-Tyrant,wbptyr1,species,16300.0,WBPT,MYAL,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Myiornis atricapillus,Black-capped Pygmy-Tyrant,bcptyr1,species,16301.0,BCPT,MYAT,BPYT,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Myiornis ecaudatus,Short-tailed Pygmy-Tyrant,stptyr1,species,16302.0,STPT,MYEC,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Lophotriccus pileatus,Scale-crested Pygmy-Tyrant,scptyr1,species,16305.0,,LOPI,SCPT,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Lophotriccus vitiosus,Double-banded Pygmy-Tyrant,dbptyr1,species,16311.0,DBPT,LOVI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Lophotriccus eulophotes,Long-crested Pygmy-Tyrant,lcptyr1,species,16316.0,LCPT,LOEU,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Lophotriccus galeatus,Helmeted Pygmy-Tyrant,heptyr1,species,16317.0,HEPT HPTY,LOGA,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Lophotriccus sp.,Lophotriccus sp.,lophot1,spuh,16318.0,,,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Atalotriccus pilaris,Pale-eyed Pygmy-Tyrant,peptyr1,species,16319.0,,ATPI,PEPT,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Oncostoma cinereigulare,Northern Bentbill,norben1,species,16324.0,,ONCI,NOBE,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Oncostoma olivaceum,Southern Bentbill,souben1,species,16325.0,,ONOL,SOBE,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Hemitriccus minor,Snethlage's Tody-Tyrant,snttyr1,species,16326.0,STTY SNTT,HEMI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Hemitriccus minor pallens,Snethlage's Tody-Tyrant (Igapo),snetot1,issf,16327.0,STTY SNTT,HEMI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,snttyr1,,,tyrann2
Hemitriccus minor minor/snethlageae,Snethlage's Tody-Tyrant (E of Madeira),snetot2,issf,16328.0,SNTT STTY,HEMI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,snttyr1,,,tyrann2
Hemitriccus minor [undescribed form],Snethlage's Tody-Tyrant (W of Madeira),snetot5,form,16331.0,STTY SNTT,HEMI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,snttyr1,,,tyrann2
Hemitriccus spodiops,Yungas Tody-Tyrant,yuttyr1,species,16332.0,YUTT YTTY,HESP,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Hemitriccus cohnhafti,Acre Tody-Tyrant,acrtot1,species,16333.0,ACTT ATTY,HECO,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Hemitriccus flammulatus,Flammulated Pygmy-Tyrant,flapyt1,species,16334.0,FLBT FBTY FLPT FPTY,HEFL,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Hemitriccus diops,Drab-breasted Pygmy-Tyrant,drbpyt1,species,16337.0,DBPT DBBT,HEDI,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Hemitriccus obsoletus,Brown-breasted Pygmy-Tyrant,bnbpyt1,species,16338.0,BBBT BBPT,HEOB,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Hemitriccus josephinae,Boat-billed Tody-Tyrant,bbttyr1,species,16341.0,BBTT,HEJO,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Hemitriccus zosterops,White-eyed Tody-Tyrant,wettyr1,species,16342.0,WETT,HEZO,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Hemitriccus zosterops zosterops/flaviviridis,White-eyed Tody-Tyrant (White-eyed),whetot4,issf,16343.0,WETT,HEZO,,Passeriformes,Tyrant Flycatchers,Tyrannidae,wettyr1,,,tyrann2
Hemitriccus zosterops [undescribed form],White-eyed Tody-Tyrant (Guianan),whetot3,form,16346.0,WETT,HEZO,,Passeriformes,Tyrant Flycatchers,Tyrannidae,wettyr1,,,tyrann2
Hemitriccus griseipectus,White-bellied Tody-Tyrant,whbtot1,species,16347.0,WBTT,HEGR,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
Hemitriccus griseipectus griseipectus,White-bellied Tody-Tyrant (White-bellied),whbtot2,issf,16348.0,WBTT,HEGR,,Passeriformes,Tyrant Flycatchers,Tyrannidae,whbtot1,,,tyrann2
Hemitriccus griseipectus naumburgae,White-bellied Tody-Tyrant (Pernambuco),whbtot3,issf,16349.0,WBTT,HEGR,,Passeriformes,Tyrant Flycatchers,Tyrannidae,whbtot1,,,tyrann2
Hemitriccus orbitatus,Eye-ringed Tody-Tyrant,erttyr1,species,16350.0,ERTT,HEOR,,Passeriformes,Tyrant Flycatchers,Tyrannidae,,,,tyrann2
